345	7466281	4609398	1009.22
346	7466281	4609399	1009.24
347	7466281	4609400	1009.34
348	7466281	4609401	1009.39
349	7466281	4609402	1009.04
350	7466281	4609403	1009.09
351	7466281	4609404	1009.09
352	7466281	4609405	1009.18
353	7466281	4609406	1008.46
354	7466281	4609407	1008.33
355	7466281	4609408	1007.75
356	7466281	4609409	1007.5
357	7466282	4609396	1009.16
358	7466282	4609397	1009.18
359	7466282	4609398	1009.22
360	7466282	4609399	1009.26
361	7466282	4609400	1009.31
362	7466282	4609401	1008.99
363	7466282	4609402	1008.94
364	7466282	4609403	1009.01
365	7466282	4609404	1009.04
366	7466282	4609405	1009.09
367	7466282	4609406	1008.31
368	7466282	4609407	1008.08
369	7466282	4609408	1007.83
370	7466282	4609409	1007.58
371	7466283	4609395	1009.05
372	7466283	4609396	1009.12
373	7466283	4609397	1009.16
374	7466283	4609398	1009.2
375	7466283	4609399	1009.23
376	7466283	4609400	1009.2
377	7466283	4609401	1008.84
378	7466283	4609402	1008.9
379	7466283	4609403	1008.95
380	7466283	4609404	1008.97
381	7466283	4609405	1008.31
382	7466283	4609406	1008.31
383	7466283	4609407	1008.05
384	7466283	4609408	1007.78
385	7466283	4609409	1007.52
386	7466284	4609394	1009.02
387	7466284	4609395	1009.06
388	7466284	4609396	1009.11
389	7466284	4609397	1009.13
390	7466284	4609398	1009.16
391	7466284	4609399	1009.16
392	7466284	4609400	1008.73
393	7466284	4609401	1008.67
394	7466284	4609402	1008.8
395	7466284	4609403	1008.84
396	7466284	4609404	1008.45
397	7466284	4609405	1008.39
398	7466284	4609406	1008.12
399	7466284	4609407	1007.87
400	7466284	4609408	1007.66
401	7466284	4609409	1007.46
402	7466285	4609394	1009
403	7466285	4609395	1009.01
404	7466285	4609396	1009.08
405	7466285	4609397	1009.12
406	7466285	4609398	1009.14
407	7466285	4609399	1008.75
408	7466285	4609400	1008.53
409	7466285	4609401	1008.57
410	7466285	4609402	1008.64
411	7466285	4609403	1008.72
412	7466285	4609404	1008.29
413	7466285	4609405	1008.29
414	7466285	4609406	1008.08
415	7466285	4609407	1007.87
416	7466285	4609408	1007.66
417	7466285	4609409	1007.45
418	7466286	4609393	1008.93
419	7466286	4609394	1008.96
420	7466286	4609395	1008.98
421	7466286	4609396	1008.99
422	7466286	4609397	1009.01
423	7466286	4609398	1008.83
424	7466286	4609399	1008.24
425	7466286	4609400	1008.36
426	7466286	4609401	1008.5
427	7466286	4609402	1008.57
428	7466286	4609403	1008.28
429	7466286	4609404	1008.23
430	7466286	4609405	1008.21
431	7466286	4609406	1008.08
432	7466286	4609407	1007.87
433	7466286	4609408	1007.66
434	7466286	4609409	1007.47
435	7466287	4609392	1008.95
436	7466287	4609393	1008.94
437	7466287	4609394	1008.95
438	7466287	4609395	1008.94
439	7466287	4609396	1008.98
440	7466287	4609397	1009.01
441	7466287	4609398	1008.04
442	7466287	4609399	1008.14
443	7466287	4609400	1008.23
444	7466287	4609401	1008.31
445	7466287	4609402	1008.41
446	7466287	4609403	1008.25
447	7466287	4609404	1008.15
448	7466287	4609405	1008.14
449	7466287	4609406	1008.07
450	7466287	4609407	1007.87
